TimeMs,00:1c:f0:cb:ec:92.APRSSI
1305232244917,-70
1305232245478,
1305232246004,-68
1305232246564,-64
1305232247088,-65
1305232247634,-69
1305232248179,-66
1305232248739,-67
1305232249257,-69
1305232249793,-66
1305232250334,-67
1305232250854,
1305232251356,
1305232251870,
1305232252404,
1305232252934,
1305232253457,
1305232253998,
1305232254547,
1305232255058,
1305232255731,
1305232256271,
1305232256785,
1305232257301,
1305232257805,
1305232258323,
1305232258854,
1305232259373,
1305232259893,
1305232260462,
1305232260968,
1305232261501,
1305232262043,
1305232262586,
1305232263113,
1305232263638,
1305232264160,
1305232264684,
1305232265194,
1305232265705,
1305232266237,
1305232266783,
1305232267282,
1305232267799,
1305232268337,
1305232268847,
1305232269367,
1305232269899,
1305232270433,
1305232270940,
1305232271461,
1305232271995,
1305232272541,
1305232273043,
1305232273572,
1305232274119,
1305232274666,
1305232275171,
1305232275713,
1305232276243,
1305232276794,
1305232277320,
1305232277836,
1305232278378,
1305232278898,
1305232279426,
1305232279960,
1305232280487,
1305232280986,
1305232281515,
1305232282054,
1305232282603,
1305232283129,
1305232283692,
1305232284230,
1305232284779,
1305232285305,
1305232285843,
1305232286358,
1305232286880,
1305232287379,
1305232287902,
1305232288445,
1305232288962,
1305232289487,
1305232290008,
1305232290543,
1305232291093,
1305232291617,
1305232292150,
1305232292684,
1305232293225,
1305232293749,
1305232294289,
1305232294844,
1305232295348,
1305232295851,
1305232296370,
1305232296918,
1305232297423,
1305232297953,
1305232298468,
1305232298968,
1305232299468,
1305232299965,
1305232300487,
1305232301027,
1305232301553,
1305232302097,
1305232302641,
1305232303160,
1305232303694,
1305232304232,
1305232304773,
1305232305297,
1305232305839,
1305232306372,
1305232306919,
1305232307437,
1305232307970,
1305232308510,
1305232309020,
1305232309547,
1305232310101,
1305232310637,
1305232311168,
1305232311691,
1305232312234,
1305232312783,
1305232313286,
1305232313817,
1305232314364,
1305232314910,
1305232315440,
1305232315958,
1305232316477,
1305232316994,
1305232317494,
1305232318019,
1305232318556,
1305232319081,
1305232319617,
1305232320132,
1305232320657,
1305232321182,
1305232321721,
1305232322264,
1305232322809,
1305232323441,
1305232323962,
1305232324491,
1305232325065,
1305232325584,
1305232326102,
1305232326648,
1305232327152,
1305232327685,
1305232328217,
1305232328738,
1305232329234,
1305232329761,
1305232330297,
1305232330847,
1305232331367,
1305232331887,
1305232332414,
1305232332952,
1305232333460,
1305232333980,
1305232334512,
1305232335026,
1305232335528,
1305232336023,
1305232336548,
1305232337070,
1305232337591,
1305232338133,
1305232338672,
1305232339207,
1305232339713,
1305232340221,
1305232340765,
1305232341296,
1305232341823,
1305232342364,
1305232342893,
1305232343433,
1305232343961,
1305232344505,
1305232345061,
1305232345565,
1305232346077,
1305232346608,
1305232347128,
1305232347660,
1305232348196,
1305232348730,
1305232349260,
1305232349792,
1305232350365,
1305232350900,
1305232351427,
1305232351965,
1305232352506,
1305232353038,
1305232353556,
1305232354082,
1305232354608,
1305232355137,
1305232355660,
1305232356194,
1305232356726,
1305232357254,
1305232357782,
1305232358321,
1305232358852,
1305232359372,
1305232359892,
1305232360442,
1305232360961,
1305232361498,
1305232362021,
1305232362573,
1305232363119,
1305232363644,
1305232364188,
1305232364734,
1305232365245,
1305232365775,
1305232366295,
1305232366831,
1305232367355,
1305232367889,
1305232368433,
1305232368980,
1305232369543,
1305232370074,
1305232370597,
1305232371153,
1305232371654,
1305232372170,
1305232372705,
1305232373213,
1305232373734,
1305232374328,
1305232374842,
1305232375352,
1305232375897,
1305232376419,
1305232376934,
1305232377449,
1305232377977,
1305232378495,
1305232379020,
1305232379539,
1305232380069,
1305232380601,
1305232381174,
1305232381674,
1305232382193,
1305232382722,
1305232383240,
1305232383766,
1305232384287,
1305232384808,
1305232385322,
1305232385849,
1305232386395,
1305232386926,
1305232387573,
1305232388093,
1305232388634,
1305232389192,
1305232389696,
1305232390226,
1305232390738,
1305232391267,
1305232391793,
1305232392336,
1305232392887,
1305232393390,
1305232393921,
1305232394451,
1305232394997,
1305232395506,
1305232396040,
1305232396563,
1305232397095,
1305232397628,
1305232398155,
1305232398679,
1305232399203,
1305232399702,
1305232400219,
1305232400745,
1305232401243,
1305232401771,
1305232402323,
1305232402862,
1305232403378,
1305232403918,
1305232404446,
1305232404975,
1305232405507,
1305232406034,
1305232406564,
1305232407111,
1305232407628,
1305232408152,
1305232408677,
1305232409272,
1305232409780,
1305232410297,
1305232410861,
1305232411355,
1305232411894,
1305232412423,
1305232412956,
1305232413488,
1305232414016,
1305232414542,
1305232415087,
1305232415621,
1305232416152,
1305232416672,
1305232417227,
1305232417725,
1305232418241,
1305232418788,
1305232419298,
1305232419817,
1305232420344,
1305232420881,
1305232421433,
1305232421964,
1305232422500,
1305232423039,
1305232423577,
1305232424102,
1305232424641,
1305232425173,
1305232425694,
1305232426215,
1305232426769,
1305232427293,
1305232427799,
1305232428321,
1305232428866,
1305232429393,
1305232429934,
1305232430460,
1305232431017,
1305232431543,
1305232432077,
1305232432608,
1305232433138,
1305232433673,
1305232434179,
1305232434696,
1305232435242,
1305232435743,
1305232436265,
1305232436813,
1305232437340,
1305232437860,
1305232438397,
1305232438926,
1305232439445,
1305232439969,
1305232440505,
1305232441042,
1305232441570,
1305232442101,
1305232442634,
1305232443156,
1305232443667,
1305232444200,
