starttime,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel,macaddr,signallevel
1294234782.29,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-84,00:1C:F0:CB:EC:5B,-63,00:1C:F0:CB:EC:92,-67,,,,,,,,,,,,,,,,
1294234805.23,00:1C:F0:CB:EC:5B,-69,00:15:6D:65:17:B6,-74,,,,,,,,,,,,,,,,,,,,
1294234828.07,00:1C:F0:CB:EC:5B,-62,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:E9:25,-87,00:1C:F0:CB:EC:92,-63,,,,,,,,,,,,
1294234851.0,00:15:6D:65:17:B6,-78,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-54,,,,,,,,,,,,,,,,
1294234893.91,00:1C:F0:CB:EC:89,-70,00:1C:F0:CB:EC:92,-58,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:5B,-72,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,
1294234916.75,00:1C:F0:CB:EC:92,-57,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-66,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294234939.71,00:1C:F0:CB:EC:92,-69,00:1C:F0:CB:EC:5B,-65,00:1C:F0:CB:EC:89,-73,00:15:6D:65:17:B6,-77,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,
1294234962.66,00:1C:F0:CB:EC:89,-67,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,,,,,
1294234985.49,00:19:5B:77:A5:EE,-80,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:92,-63,00:1C:F0:CB:EC:5B,-64,,,,,,,,,,,,,,,,
1294235008.34,00:19:5B:77:A5:EE,-80,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:5B,-63,,,,,,,,,,,,,,,,,,
1294235031.29,00:1C:F0:CB:EC:5B,-61,00:1C:F0:CB:EC:92,-54,00:1C:F0:CB:EC:89,-66,,,,,,,,,,,,,,,,,,
1294235074.19,00:1C:F0:CB:EC:92,-70,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:5B,-78,,,,,,,,,,,,,,
1294235097.12,00:1C:F0:CB:EC:92,-62,00:19:5B:77:A5:EE,-80,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:5B,-69,00:15:6D:67:1D:F3,-85,,,,,,,,,,,,,,
1294235120.06,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-75,00:1C:F0:CB:EC:89,-72,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,,,,,
1294235143.01,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:89,-68,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-63,,,,,,,,,,,,,,
1294235165.85,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-54,,,,,,,,,,,,,,
1294235188.7,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:89,-79,00:19:5B:77:A5:EE,-82,00:1C:F0:CB:EC:92,-68,00:1C:F0:CB:EC:95,-80,,,,,,,,,,,,,,
1294235211.65,00:1C:F0:CB:EC:89,-76,00:19:5B:77:A5:EE,-82,00:1C:F0:CB:EC:92,-57,,,,,,,,,,,,,,,,,,
1294235254.66,00:1C:F0:CB:EC:92,-60,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-80,,,,,,,,,,,,,,,,
1294235277.5,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,,,,,
1294235300.44,00:0C:42:68:DE:D3,-80,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:89,-74,00:1C:F0:CB:EC:5B,-76,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,
1294235323.28,00:1C:F0:CB:EC:89,-69,00:1C:F0:CB:EC:5B,-77,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,,,
1294235346.11,00:19:5B:77:A5:EE,-82,00:1C:F0:CB:EC:95,-81,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,,,,,
1294235368.95,00:19:5B:77:A5:EE,-82,00:0C:42:68:DE:D3,-81,00:1C:F0:CB:EC:5B,-77,00:1C:F0:CB:EC:89,-68,,,,,,,,,,,,,,,,
1294235391.8,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:5B,-67,00:1C:F0:CB:EC:89,-67,00:1C:F0:CB:EC:70,-87,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,
1294235434.82,00:1C:F0:CB:EC:5B,-70,00:1C:F0:CB:EC:89,-82,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,,,,,,,
1294235457.76,00:1C:F0:CB:EC:89,-81,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:92,-56,,,,,,,,,,,,,,,,,,
1294235480.69,00:1C:F0:CB:EC:89,-79,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:92,-54,00:1C:F0:CB:EC:95,-81,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,,,
1294235503.63,00:0C:42:68:DE:D3,-83,00:1C:F0:CB:EC:92,-72,00:1C:F0:CB:EC:95,-80,,,,,,,,,,,,,,,,,,
1294235526.57,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:5B,-69,,,,,,,,,,,,,,,,,,,,
1294235549.53,00:1C:F0:CB:EC:5B,-70,00:15:6D:65:17:B6,-78,,,,,,,,,,,,,,,,,,,,
1294235572.45,00:1C:F0:CB:EC:5B,-72,,,,,,,,,,,,,,,,,,,,,,
1294235595.3,00:1C:F0:CB:EC:89,-67,00:1C:F0:CB:EC:95,-80,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-59,00:1C:F0:CB:EC:5B,-75,,,,,,,,,,,,,,
1294235618.15,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:5B,-80,,,,,,,,,,,,,,,,,,
1294235641.08,00:19:5B:77:A5:EE,-80,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,,,,,
1294235663.91,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:95,-80,00:1C:F0:CB:EC:92,-67,00:1C:F0:CB:EC:5B,-73,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,
1294235686.77,00:1C:F0:CB:EC:95,-80,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,,,
1294235709.6,00:1C:F0:CB:EC:95,-80,00:1C:F0:CB:EC:92,-54,00:1C:F0:CB:EC:5B,-70,,,,,,,,,,,,,,,,,,
1294235732.55,00:1C:F0:CB:EC:95,-80,00:1C:F0:CB:EC:92,-60,00:1C:F0:CB:EC:5B,-62,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,,,,,
1294235755.38,00:1C:F0:CB:EC:92,-66,00:1C:F0:CB:EC:5B,-61,,,,,,,,,,,,,,,,,,,,
1294235778.33,00:1C:F0:CB:EC:89,-79,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-54,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294235801.18,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:92,-57,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294235824.12,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,,,,,,,
1294235847.05,00:1C:F0:CB:EC:5B,-63,,,,,,,,,,,,,,,,,,,,,,
1294235869.88,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-80,,,,,,,,,,,,,,,,,,,,
1294235912.8,00:0C:42:68:DE:D3,-86,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,,,,,,,,,
1294235935.64,00:0C:42:68:DE:D3,-84,00:1C:F0:CB:EC:92,-58,00:1C:F0:CB:EC:89,-75,,,,,,,,,,,,,,,,,,
1294235958.48,00:0C:42:68:DE:D3,-86,00:1C:F0:CB:EC:92,-56,00:1C:F0:CB:EC:89,-76,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:5B,-63,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:E9:25,-87,,,,,,,,,,
1294235981.41,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:5B,-69,,,,,,,,,,,,,,,,,,,,
1294236004.26,00:1C:F0:CB:EC:5B,-64,00:1C:F0:CB:EC:92,-72,00:1C:F0:CB:EC:95,-81,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,
1294236027.08,00:1C:F0:CB:EC:5B,-69,00:1C:F0:CB:EC:92,-57,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,,,,,
1294236049.94,00:1C:F0:CB:EC:5B,-70,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,
1294236092.95,00:0C:42:68:DE:D3,-83,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:92,-56,00:1C:F0:CB:EC:5B,-62,00:1C:F0:CB:EC:95,-80,,,,,,,,,,,,,,
1294236115.89,00:19:5B:77:A5:EE,-80,00:1C:F0:CB:EC:5B,-66,00:1C:F0:CB:EC:95,-81,00:15:6D:65:17:B6,-74,,,,,,,,,,,,,,,,
1294236138.84,00:1C:F0:CB:EC:5B,-63,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:89,-76,00:1C:F0:CB:EC:92,-54,00:15:6D:65:17:B6,-76,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,
1294236161.67,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,,,,,,,
1294236184.62,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:92,-73,,,,,,,,,,,,,,,,,,,,
1294236207.48,00:15:6D:65:17:B6,-76,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:95,-84,,,,,,,,,,,,,,,,,,
1294236230.42,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:92,-52,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,,,,,,,
1294236273.44,00:0C:42:68:DE:D3,-81,00:1C:F0:CB:EC:5B,-75,00:19:5B:77:A5:EE,-82,00:15:6D:65:17:B6,-75,,,,,,,,,,,,,,,,
1294236296.38,00:1C:F0:CB:EC:5B,-75,00:19:5B:77:A5:EE,-80,00:15:6D:65:17:B6,-75,00:1C:F0:CB:EC:89,-61,,,,,,,,,,,,,,,,
1294236319.32,00:1C:F0:CB:EC:5B,-72,00:19:5B:77:A5:EE,-80,00:1C:F0:CB:EC:89,-68,00:1C:F0:CB:EC:92,-58,,,,,,,,,,,,,,,,
1294236342.27,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,,,,,,,,,,,
1294236365.22,00:19:5B:77:A5:EE,-80,00:1C:F0:CB:EC:89,-76,00:0C:42:68:DE:D3,-81,,,,,,,,,,,,,,,,,,
1294236388.18,00:19:5B:77:A5:EE,-80,00:1C:F0:CB:EC:89,-68,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,,,
1294236411.01,00:19:5B:77:A5:EE,-81,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-72,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,
1294236454.04,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:95,-80,00:1C:F0:CB:EC:89,-76,00:15:6D:65:17:B6,-76,,,,,,,,,,,,,,,,
1294236476.99,00:1C:F0:CB:EC:92,-52,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:89,-77,00:1C:F0:CB:EC:5B,-71,,,,,,,,,,,,,,,,
1294236499.94,00:1C:F0:CB:EC:92,-52,00:1C:F0:CB:EC:95,-82,00:1C:F0:CB:EC:89,-81,00:1C:F0:CB:EC:5B,-63,00:15:6D:65:17:B6,-74,00:19:5B:77:A5:EE,-82,,,,,,,,,,,,
1294236522.88,00:1C:F0:CB:EC:92,-66,00:1C:F0:CB:EC:89,-77,00:1C:F0:CB:EC:5B,-81,,,,,,,,,,,,,,,,,,
1294236545.83,00:1C:F0:CB:EC:5B,-72,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,,,,,,,
1294236568.67,00:1C:F0:CB:EC:89,-76,,,,,,,,,,,,,,,,,,,,,,
1294236591.52,00:1C:F0:CB:EC:92,-55,00:15:6D:65:17:B6,-77,00:1C:F0:CB:EC:5B,-73,,,,,,,,,,,,,,,,,,
1294236634.42,00:19:5B:77:A5:EE,-82,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-83,,,,,,,,,,,,,,,,,,
1294236657.36,00:19:5B:77:A5:EE,-80,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:89,-81,,,,,,,,,,,,,,,,
1294236680.3,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-55,00:15:6D:65:17:B6,-78,00:1C:F0:CB:EC:89,-78,00:1C:F0:CB:EC:95,-82,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,
1294236703.25,00:1C:F0:CB:EC:92,-67,00:1C:F0:CB:EC:89,-75,00:1C:F0:CB:EC:95,-79,00:19:5B:77:A5:EE,-81,,,,,,,,,,,,,,,,
1294236726.08,00:1C:F0:CB:EC:92,-57,00:1C:F0:CB:EC:95,-80,00:19:5B:77:A5:EE,-86,,,,,,,,,,,,,,,,,,
1294236749.03,00:1C:F0:CB:EC:95,-81,00:1C:F0:CB:EC:89,-81,00:0C:42:68:DE:D3,-86,,,,,,,,,,,,,,,,,,
1294236771.86,00:0C:42:68:DE:D3,-84,00:15:6D:65:17:B6,-78,,,,,,,,,,,,,,,,,,,,
1294236814.76,00:1C:F0:CB:EC:89,-69,00:19:5B:77:A5:EE,-81,00:1C:F0:CB:EC:95,-82,,,,,,,,,,,,,,,,,,
1294236837.62,00:1C:F0:CB:EC:89,-84,00:19:5B:77:A5:EE,-84,00:1C:F0:CB:EC:95,-82,00:0C:42:68:DE:D3,-82,,,,,,,,,,,,,,,,
1294236860.46,00:0C:42:68:DE:D3,-84,00:1C:F0:CB:EC:92,-57,00:15:6D:65:17:B6,-78,00:1C:F0:CB:EC:5B,-62,00:1C:F0:CB:EC:95,-81,,,,,,,,,,,,,,
1294236883.39,00:0C:42:68:DE:D3,-82,00:1C:F0:CB:EC:92,-57,,,,,,,,,,,,,,,,,,,,
1294236906.22,00:1C:F0:CB:EC:5B,-71,,,,,,,,,,,,,,,,,,,,,,
