TimeMs,00:1c:f0:cb:ec:95.APRSSI
1305177726321,-85
1305177729352,-87
1305177732098,-84
1305177735312,-86
1305177738570,-87
1305177741777,-85
1305177744860,-85
1305177749670,-86
1305177752721,-85
1305177755682,-86
1305177759027,-86
1305177762780,-92
1305177765740,-86
1305177768712,-86
1305177773591,-87
1305177777005,-84
1305177780312,-86
1305177783419,-86
1305177786856,-84
1305177789813,-87
1305177793077,-85
1305177798047,-86
1305177801336,-87
1305177803451,-87
1305177805857,-86
1305177809266,-87
1305177812654,-92
1305177815538,-86
1305177818681,-86
1305177823926,-87
1305177827153,-86
1305177830410,-86
1305177833426,-84
1305177846370,-87
1305177849854,-86
1305177854290,-84
1305177857382,-86
1305177862968,-88
1305177866508,-83
1305177869624,-84
1305177877500,-85
1305177879787,-85
1305177883147,-85
1305177885794,-85
1305177888483,-85
1305177893074,-85
1305177897031,-87
1305177899796,-86
1305177905076,-86
1305177907578,-88
1305177910865,-86
1305177913413,-85
1305177916350,-86
1305177922002,-85
1305177925461,-84
1305177928193,-86
1305177931635,-87
1305177934936,-84
1305177938081,-85
1305177941086,-87
1305177944204,-86
1305177949554,-86
1305177954067,-87
1305177958687,-85
1305177961694,-85
1305177973701,-85
1305177981803,-87
1305177985413,-84
1305177988350,-87
1305177993521,-85
1305177998249,-87
1305178005714,-85
1305178008371,-85
1305178010285,-85
1305178015200,-85
1305178017829,-87
1305178021115,-87
1305178023794,-86
1305178036432,-87
1305178040166,-86
1305178046490,-85
1305178049098,-85
1305178051743,-86
1305178055695,-85
1305178059041,-87
1305178062739,-85
1305178069134,-87
1305178072912,-85
1305178077428,-85
1305178082427,-87
1305178085498,-85
1305178093252,-85
1305178096859,-86
1305178099769,-86
1305178106526,-86
1305178113580,-86
1305178117410,-86
1305178121000,-86
1305178124749,-86
1305178130011,-85
1305178132809,-87
1305178136976,-85
1305178139805,-85
1305178145501,-87
1305178149277,-86
1305178159661,-87
1305178170696,-86
1305178173814,-86
1305178178488,-86
1305178181480,-87
1305178184302,-88
1305178187976,-87
1305178193897,-86
1305178199856,-87
1305178205753,-88
1305178208420,-86
1305178212130,-86
1305178216326,-86
1305178226258,-86
1305178229163,-85
1305178237349,-86
1305178242126,-86
1305178246931,-87
1305178252170,-85
1305178256494,-86
1305178261781,-87
1305178272513,-87
1305178281492,-85
1305178286239,-88
1305178301855,-92
1305178310468,-92
1305178313709,-87
1305178317322,-86
1305178322452,-86
1305178325989,-85
1305178329439,-85
1305178334650,-87
1305178344934,-85
1305178358630,-85
1305178364890,-87
1305178366911,-87
1305178370373,-84
1305178376268,-85
1305178382377,-86
1305178385024,-85
1305178390061,-86
1305178393558,-84
1305178406679,-86
1305178416294,-86
1305178420222,-86
1305178424923,-84
1305178433596,-86
1305178439346,-85
1305178444585,-86
1305178446944,-86
1305178450025,-87
1305178454324,-87
1305178462256,-87
1305178467156,-86
1305178469495,-86
1305178471460,-92
1305178482080,-87
1305178484072,-87
1305178488739,-88
1305178493730,-85
1305178495916,-85
1305178498528,-87
1305178501227,-85
1305178506230,-86
1305178509394,-86
1305178513914,-87
1305178516354,-87
1305178519415,-83
1305178522218,-89
1305178526334,-83
1305178528194,-83
1305178533592,-86
1305178540663,-86
1305178543444,-90
1305178548257,-86
1305178551996,-82
1305178554831,-87
1305178558513,-87
1305178561371,-83
1305178563952,-85
1305178566725,-86
1305178570295,-86
1305178572601,-86
1305178579063,-82
1305178581614,-85
1305178585802,-86
1305178588867,-86
1305178592078,-87
1305178601377,-87
1305178605304,-87
1305178608166,-83
1305178610993,-87
1305178613837,-85
1305178617199,-84
1305178620260,-87
1305178625994,-92
1305178629351,-85
1305178632722,-88
1305178635713,-88
1305178641678,-85
1305178643766,-85
1305178646123,-88
1305178649276,-86
1305178651903,-86
1305178654544,-85
1305178657213,-86
1305178669815,-81
1305178672760,-86
1305178676925,-86
1305178680090,-86
1305178683299,-92
1305178686001,-92
1305178690247,-86
1305178692818,-86
1305178695528,-88
1305178698178,-87
1305178701044,-86
1305178703535,-85
1305178709759,-87
1305178712071,-87
1305178717207,-92
1305178720129,-88
1305178730478,-88
1305178764121,-85
1305178766875,-85
1305178770659,-85
1305178773401,-85
1305178776745,-86
1305178779620,-87
1305178783593,-87
1305178786074,-92
1305178795522,-85
1305178799642,-87
1305178803821,-86
1305178811333,-86
1305178823234,-86
1305178825643,-86
1305178828100,-86
1305178831497,-87
1305178834241,-87
1305178839785,-85
1305178842901,-85
1305178847436,-85
1305178850546,-88
1305178855234,-86
1305178875933,-87
1305178878491,-87
1305178883161,-88
1305178889383,-87
1305178891916,-87
1305178894796,-87
1305178898502,-86
1305178905092,-82
1305178911198,-86
1305178914627,-86
1305178919552,-87
1305178927536,-85
1305178936992,-89
1305178940101,-89
1305178942540,-92
1305178946176,-88
1305178949988,-83
1305178952733,-83
1305178956115,-90
1305178960444,-87
1305178983440,-87
1305178992456,-85
1305178997909,-85
1305179003207,-92
1305179005857,-87
1305179010832,-88
1305179013808,-88
