starttime_asc,starttime,endtime,scaninfo.00:0C:42:68:DE:D3.signallevel,scaninfo.00:15:6D:65:17:B6.signallevel,scaninfo.00:15:6D:67:1D:F3.signallevel,scaninfo.00:19:5B:6C:BC:D9.signallevel,scaninfo.00:19:5B:6C:C0:25.signallevel,scaninfo.00:19:5B:6C:C0:2A.signallevel,scaninfo.00:19:5B:77:A5:EE.signallevel,scaninfo.00:19:5B:ED:BC:68.signallevel,scaninfo.00:1C:F0:CB:E9:21.signallevel,scaninfo.00:1C:F0:CB:E9:25.signallevel,scaninfo.00:1C:F0:CB:EC:14.signallevel,scaninfo.00:1C:F0:CB:EC:5B.signallevel,scaninfo.00:1C:F0:CB:EC:70.signallevel,scaninfo.00:1C:F0:CB:EC:89.signallevel,scaninfo.00:1C:F0:CB:EC:92.signallevel,scaninfo.00:1C:F0:CB:EC:95.signallevel,scaninfo.00:22:B0:42:7F:FB.signallevel
Fri Jan  7 15:41:20 2011,1294395080.46,1294395083.23,-83,-74,,,,,-81,,,,,-70,,-76,-66,-80,
Fri Jan  7 15:41:43 2011,1294395103.3,1294395106.07,-83,,,,,,-82,,,,,-78,,-78,-55,-82,
Fri Jan  7 15:42:06 2011,1294395126.15,1294395129.03,,-71,,,,,-81,,,,,-76,,-74,,-82,
Fri Jan  7 15:42:29 2011,1294395149.09,1294395151.87,-83,,,,,,-83,,,,,,,,-61,-82,
Fri Jan  7 15:42:51 2011,1294395171.94,1294395174.71,,,,,,,-83,,,,,,,,-52,,
Fri Jan  7 15:43:34 2011,1294395214.85,1294395217.62,,-75,,,,,-81,,,,,-72,,-75,-52,-82,
Fri Jan  7 15:43:57 2011,1294395237.69,1294395240.56,-82,-72,,,,,-82,,,,,,,-70,-66,-82,
Fri Jan  7 15:44:20 2011,1294395260.63,1294395263.41,-83,-74,,,,,-82,,,,,-68,,-77,-75,-83,
Fri Jan  7 15:44:43 2011,1294395283.47,1294395286.24,,-73,,,,,-82,,,,,-72,,,-60,,
Fri Jan  7 15:45:06 2011,1294395306.31,1294395309.08,-82,,,,,,-83,,,,,,,-74,,,
Fri Jan  7 15:45:29 2011,1294395329.14,1294395331.92,,-76,,,,,,,,,,-69,,,,,
Fri Jan  7 15:45:51 2011,1294395351.99,1294395354.76,,-69,,,,,,,,,,-68,,-75,-73,-83,
Fri Jan  7 15:46:14 2011,1294395374.83,1294395377.71,-83,-72,,,,,-83,,,,,-65,-86,-75,,-81,
Fri Jan  7 15:46:37 2011,1294395397.78,1294395400.66,-84,-73,,,,,,,,,,-70,,,-67,,
Fri Jan  7 15:47:00 2011,1294395420.72,1294395423.5,,,,,,,,,,,,-75,-86,,,,
Fri Jan  7 15:47:23 2011,1294395443.56,1294395446.34,-82,,,,,,,,,,,-64,,-74,-63,,
Fri Jan  7 15:47:46 2011,1294395466.41,1294395469.28,-85,-73,,,,,,,,,,-70,,-75,-52,-81,
Fri Jan  7 15:48:09 2011,1294395489.35,1294395492.12,-83,-74,-88,,,,,,,,,-71,,,-63,,
Fri Jan  7 15:48:32 2011,1294395512.18,1294395514.96,-84,,-85,,,,-82,,,,,-67,,,,-80,
Fri Jan  7 15:48:55 2011,1294395535.02,1294395537.8,-84,,,,,,-81,,,,,-69,,-81,,,
Fri Jan  7 15:49:17 2011,1294395557.86,1294395560.63,-84,-72,,,,,-81,,,,,-64,,-74,-55,-82,
Fri Jan  7 15:49:40 2011,1294395580.69,1294395583.47,,,,,,,-81,,,,,,,,,,
Fri Jan  7 15:50:03 2011,1294395603.53,1294395606.3,-81,-75,,,,,,,,,,,,-75,-63,,
Fri Jan  7 15:50:26 2011,1294395626.38,1294395629.15,,-75,-87,,,,,,,,,-64,,-75,-63,,
Fri Jan  7 15:50:49 2011,1294395649.21,1294395651.98,,,,,,,,,,,,-63,,,-60,-81,
Fri Jan  7 15:51:32 2011,1294395692.12,1294395694.89,-83,,,,,,-82,,,,,-70,,-75,-60,,
Fri Jan  7 15:51:54 2011,1294395714.97,1294395717.75,-84,,,,,,,,,,,-69,,-74,-63,,
Fri Jan  7 15:52:17 2011,1294395737.82,1294395740.6,-84,-74,,,,,,,,,,-71,,-77,-64,,
Fri Jan  7 15:52:40 2011,1294395760.68,1294395763.46,-84,,,,,,,,,,,-66,,-74,-55,,
Fri Jan  7 15:53:03 2011,1294395783.55,1294395786.33,-83,,,,,,,,,,,-70,,-74,-63,,
Fri Jan  7 15:53:26 2011,1294395806.4,1294395809.17,,-73,,,,,,,,,,,,,-62,-81,
Fri Jan  7 15:53:49 2011,1294395829.24,1294395832.02,-84,-72,,,,,-82,,,,,-77,,-76,-60,-80,
Fri Jan  7 15:54:32 2011,1294395872.15,1294395875.02,-85,,,,,,,,,,,-70,,,,-80,
Fri Jan  7 15:54:55 2011,1294395895.08,1294395897.86,-84,-72,,,,,,,,,,-67,,,,-83,
Fri Jan  7 15:55:17 2011,1294395917.93,1294395920.81,-85,-73,,,,,-81,,,,,-73,,-75,,-81,
Fri Jan  7 15:55:40 2011,1294395940.88,1294395943.65,,,,,,,,,,,,-70,,,-61,-81,
Fri Jan  7 15:56:03 2011,1294395963.71,1294395966.48,,-72,,,,,,,,,,-68,,-76,-66,-81,
Fri Jan  7 15:56:26 2011,1294395986.55,1294395989.32,-83,-78,,,,,,,,,,-67,,-76,-60,-82,
Fri Jan  7 15:56:49 2011,1294396009.4,1294396012.18,,,,,,,-82,,,,,-73,-85,-81,-59,-83,
Fri Jan  7 15:57:32 2011,1294396052.3,1294396055.07,-83,,,,,,,,,,,,,-75,-66,,
Fri Jan  7 15:57:55 2011,1294396075.13,1294396077.91,-83,-74,,,,,,,,,,,,-77,-65,-81,
Fri Jan  7 15:58:17 2011,1294396097.96,1294396100.64,-83,-75,,,,,-83,,,,,-66,,-76,-60,,
Fri Jan  7 15:58:40 2011,1294396120.69,1294396123.47,-84,-74,,,,,-82,,,,,-73,,-75,-60,-82,
Fri Jan  7 15:59:03 2011,1294396143.52,1294396146.3,-83,,,,,,-83,,,,,-66,,-76,,,
Fri Jan  7 15:59:26 2011,1294396166.35,1294396169.03,-83,,,,,,,,,,,-62,,,,-79,
Fri Jan  7 15:59:49 2011,1294396189.11,1294396191.78,-83,-76,,,,,,,,,,-69,,-74,-52,,
Fri Jan  7 16:00:11 2011,1294396211.85,1294396214.63,-84,-76,-89,,,,,,,,,-72,-85,-79,-74,,
Fri Jan  7 16:00:34 2011,1294396234.71,1294396237.48,-85,,,,,,-83,,,,,-74,,-76,-53,-81,
Fri Jan  7 16:00:57 2011,1294396257.55,1294396260.42,-83,,,,,,-82,,,,,-68,,-75,-55,,
Fri Jan  7 16:01:20 2011,1294396280.48,1294396283.25,-84,,,,,,-81,,,,,-67,,-74,-64,-81,
Fri Jan  7 16:01:43 2011,1294396303.32,1294396306.09,-83,-75,,,,,-81,,,,,-68,-84,-74,-64,-82,
Fri Jan  7 16:02:06 2011,1294396326.17,1294396328.94,-83,,,,,,-82,,,,,-69,,-77,,,
Fri Jan  7 16:02:29 2011,1294396349.02,1294396351.8,,-73,,,,,,,,,,-74,,,-60,,
Fri Jan  7 16:02:51 2011,1294396371.86,1294396374.63,,,,,,,,,,,,-69,,,-55,-81,
Fri Jan  7 16:03:34 2011,1294396414.77,1294396417.55,,-75,,,,,-83,,,,,-67,,,,-82,
Fri Jan  7 16:03:57 2011,1294396437.61,1294396440.48,-82,-73,,,,,-81,,,,,-68,,-69,,,
Fri Jan  7 16:04:20 2011,1294396460.55,1294396463.42,-82,-73,,,,,-82,,,,,-73,-85,-82,-75,-82,
Fri Jan  7 16:04:43 2011,1294396483.48,1294396486.26,-84,,,,,,-82,,,,,-70,,,-52,-80,
Fri Jan  7 16:05:06 2011,1294396506.33,1294396509.11,-84,,,,,,-81,,,,,-69,,,,-80,
Fri Jan  7 16:05:29 2011,1294396529.17,1294396531.95,-83,,,,,,,,,,,,,,-63,-81,
Fri Jan  7 16:05:52 2011,1294396552.02,1294396554.8,,-74,,,,,,,,,,-69,-85,,-60,-81,
Fri Jan  7 16:06:14 2011,1294396574.87,1294396577.75,-83,,,,,,-81,,,,,-66,,-78,,-81,
Fri Jan  7 16:06:37 2011,1294396597.83,1294396600.6,,-72,,,,,,,,,,-70,,,-75,-81,
Fri Jan  7 16:07:00 2011,1294396620.68,1294396623.45,-84,-72,,,,,-80,,,,,-70,,,-61,,
Fri Jan  7 16:07:23 2011,1294396643.51,1294396646.39,-83,-73,,,,,-83,,,,,-74,-84,-76,-53,,
Fri Jan  7 16:07:46 2011,1294396666.46,1294396669.34,-82,-72,,,,,-81,,,,,,,,-55,-84,
Fri Jan  7 16:08:09 2011,1294396689.41,1294396692.19,-82,,,,,,-82,,,,,-72,,-77,-60,,
Fri Jan  7 16:08:32 2011,1294396712.26,1294396715.04,,,,,,,-82,,,,,,,,,,
Fri Jan  7 16:08:55 2011,1294396735.1,1294396737.97,-84,,,,,,-83,,,,,-73,,,-53,,
Fri Jan  7 16:09:18 2011,1294396758.02,1294396760.8,-88,-72,,,,,-82,,,,,-72,,-81,-53,-79,
Fri Jan  7 16:09:40 2011,1294396780.86,1294396783.63,-82,,,,,,-80,,,,,,,,-63,,
Fri Jan  7 16:10:03 2011,1294396803.7,1294396806.58,-82,,,,,,-82,,,-86,,,,,-53,-81,
Fri Jan  7 16:10:26 2011,1294396826.65,1294396829.42,,-75,,,,,,,,-86,,,,-75,-76,,
Fri Jan  7 16:10:49 2011,1294396849.48,1294396852.36,,,,,,,,,,,,-71,,,-52,,
Fri Jan  7 16:11:32 2011,1294396892.5,1294396895.37,-82,-71,,,,,-81,,,,,-70,,-81,-66,,
Fri Jan  7 16:11:55 2011,1294396915.45,1294396918.22,-85,-72,,,,,-84,,,,,-67,,-82,-52,,
Fri Jan  7 16:12:18 2011,1294396938.29,1294396941.06,-83,-75,-87,,,,-81,,,,,-72,,,-74,-83,
Fri Jan  7 16:12:41 2011,1294396961.14,1294396964.02,-82,-73,,,,,-82,,,,,-70,,-75,-66,-81,
Fri Jan  7 16:13:04 2011,1294396984.09,1294396986.86,,,,,,,-82,,,,,-64,,,-52,-81,
Fri Jan  7 16:13:26 2011,1294397006.94,1294397009.81,,-73,,,,,-81,,,,,,,-74,-60,,
Fri Jan  7 16:13:49 2011,1294397029.88,1294397032.76,-81,-73,,,,,-81,,,,,-67,,,,-80,
Fri Jan  7 16:14:32 2011,1294397072.89,1294397075.67,-83,,,,,,,,,,,-66,,-76,-67,-80,
Fri Jan  7 16:14:55 2011,1294397095.74,1294397098.62,,,,,,,,,,,,-69,,,-63,-83,
Fri Jan  7 16:15:18 2011,1294397118.7,1294397121.47,-84,-74,,,,,-81,,,,,-70,,-75,-52,-81,
Fri Jan  7 16:15:41 2011,1294397141.54,1294397144.3,-85,,,,,,-83,,,,,,,,,-79,
Fri Jan  7 16:16:04 2011,1294397164.38,1294397167.16,-83,,,,,,-82,,,,,-66,,-68,-59,,
Fri Jan  7 16:16:27 2011,1294397187.23,1294397190.1,-83,,,,,,-83,,,,,,,,,,
Fri Jan  7 16:16:50 2011,1294397210.18,1294397212.96,-83,,,,,,-82,,,,,-76,,-75,,-80,
Fri Jan  7 16:17:33 2011,1294397253.12,1294397255.99,,,-88,,,,,,,,,,,,,-81,
Fri Jan  7 16:17:56 2011,1294397276.06,1294397278.83,,-75,,,,,,,,,,-66,,-75,-55,-81,
Fri Jan  7 16:18:18 2011,1294397298.91,1294397301.69,-83,-76,,,,,-82,,,,,-67,,-75,-52,-81,
Fri Jan  7 16:18:41 2011,1294397321.74,1294397324.61,-89,,,,,,-81,,,,,-72,,-75,-52,-81,
Fri Jan  7 16:19:04 2011,1294397344.67,1294397347.44,-81,,,,,,-83,,,,,,,-76,-52,,
Fri Jan  7 16:19:27 2011,1294397367.53,1294397370.4,,-74,,,,,-81,,,,,-70,,,-60,,
Fri Jan  7 16:19:50 2011,1294397390.46,1294397393.24,,-73,,,,,-82,,,,,-71,,,-60,,
Fri Jan  7 16:20:33 2011,1294397433.36,1294397436.14,-83,-75,,,,,,,,,,,,-74,-59,-81,
Fri Jan  7 16:20:56 2011,1294397456.2,1294397458.97,,,,,,,,,,,,-77,,-75,,,
Fri Jan  7 16:21:19 2011,1294397479.05,1294397481.92,-83,-74,,,,,-83,,,,,-72,,-75,-63,,
Fri Jan  7 16:21:41 2011,1294397501.99,1294397504.77,-84,,,,,,-83,,,,,,,-75,-67,-80,
Fri Jan  7 16:22:04 2011,1294397524.85,1294397527.72,-83,,,,,,-82,,,,,-62,-87,-80,-63,-79,
Fri Jan  7 16:22:27 2011,1294397547.78,1294397550.56,-84,,,,,,-81,,,,,-66,,,-59,-82,
Fri Jan  7 16:22:50 2011,1294397570.62,1294397573.4,,,,,,,-81,,,,,-71,,-79,-60,,
Fri Jan  7 16:23:33 2011,1294397613.55,1294397616.33,-84,-75,,,,,,,,,,-77,,,-63,,
Fri Jan  7 16:23:56 2011,1294397636.41,1294397639.28,-83,,,,,,-81,,,,,-70,,,-53,,
Fri Jan  7 16:24:19 2011,1294397659.34,1294397662.11,-83,,,,,,-82,,,,,-70,,-75,-55,,
Fri Jan  7 16:24:42 2011,1294397682.19,1294397684.97,,,,,,,-81,,,,,-76,,,-75,,
Fri Jan  7 16:25:05 2011,1294397705.02,1294397707.8,-83,-74,,,,,-82,,,,,-67,,-80,,-81,
Fri Jan  7 16:25:27 2011,1294397727.86,1294397730.64,-83,,,,,,-80,,,,,-67,,-77,,-81,
Fri Jan  7 16:25:50 2011,1294397750.71,1294397753.48,-83,,,,,,-81,,,,,-70,,-75,,-81,
Fri Jan  7 16:26:33 2011,1294397793.62,1294397796.49,-84,,,,,,-82,,,,,-68,,-75,-52,-81,
Fri Jan  7 16:26:56 2011,1294397816.55,1294397819.42,,,,,,,-82,,,,,-78,,,-66,-79,
Fri Jan  7 16:27:19 2011,1294397839.48,1294397842.36,-82,,,,,,-83,,,,,-65,,,-60,-83,
Fri Jan  7 16:27:42 2011,1294397862.43,1294397865.3,,-75,,,,,-83,,,,,-71,,-81,-60,-80,
Fri Jan  7 16:28:05 2011,1294397885.38,1294397888.25,-82,-76,,,,,-82,,,,,,,,-59,,
Fri Jan  7 16:28:28 2011,1294397908.32,1294397911.19,-82,,,,,,-80,,,,,,,,-59,-84,
Fri Jan  7 16:28:51 2011,1294397931.27,1294397934.15,-83,-75,,,,,,,,,,-69,,,,-79,
Fri Jan  7 16:29:34 2011,1294397974.3,1294397977.18,-83,,,,,,-81,,,,,,,-78,-52,-81,
Fri Jan  7 16:29:57 2011,1294397997.24,1294398000.02,,-64,,,,,,,,,,-75,,-77,-55,-82,
Fri Jan  7 16:30:20 2011,1294398020.09,1294398022.96,-83,-76,,,,,,,,,,-70,,-74,-70,-80,
Fri Jan  7 16:30:43 2011,1294398043.03,1294398045.9,-84,-74,,,,,,,,,,,,-75,-60,-79,
Fri Jan  7 16:31:05 2011,1294398065.97,1294398068.84,,-75,,,,,,,,,,,,-79,-59,-81,
Fri Jan  7 16:31:28 2011,1294398088.91,1294398091.79,-83,,,,,,,,,,,,,,-60,-78,
Fri Jan  7 16:31:51 2011,1294398111.86,1294398114.64,-83,,,,,,,,,,,-71,,-75,,-79,
Fri Jan  7 16:32:34 2011,1294398154.79,1294398157.66,-83,,,,,,-82,,,,,,,-75,-52,-83,
Fri Jan  7 16:32:57 2011,1294398177.73,1294398180.6,-83,,,,,,-81,,,,,,,,-52,,
Fri Jan  7 16:33:20 2011,1294398200.67,1294398203.44,-85,-76,,,,,-80,,,-87,,-66,,-75,-59,-83,
Fri Jan  7 16:33:43 2011,1294398223.51,1294398226.29,,,,,,,-82,,,,,,,,-53,,
Fri Jan  7 16:34:06 2011,1294398246.37,1294398249.25,-83,,,,,,-82,,,,,-69,,,-72,,
Fri Jan  7 16:34:29 2011,1294398269.32,1294398272.19,,-73,,,,,-81,,,,,,,-75,-70,,
Fri Jan  7 16:34:52 2011,1294398292.24,1294398295.12,-83,,,,,,-82,,,,,-69,,,-60,-80,
Fri Jan  7 16:35:15 2011,1294398315.18,1294398317.96,-82,-75,,,,,-81,,,,,-69,,-80,-55,-79,
Fri Jan  7 16:35:38 2011,1294398338.04,1294398340.91,,,,,,,,,,,,,,,,-80,
Fri Jan  7 16:36:00 2011,1294398361.0,1294398363.77,-83,,,,,,,,,,,-70,,,-51,,
Fri Jan  7 16:36:23 2011,1294398383.84,1294398386.72,-83,-74,,,,,-83,,,,,,,-77,-63,-81,
Fri Jan  7 16:36:46 2011,1294398406.79,1294398409.67,,-73,,,,,,,,,,-71,,-75,-60,,
Fri Jan  7 16:37:09 2011,1294398429.73,1294398432.51,,-73,,,,,,,,,,-66,,-78,-74,,
Fri Jan  7 16:37:32 2011,1294398452.59,1294398455.36,-84,-73,,,,,,,,,,-65,,-74,-53,-78,
Fri Jan  7 16:37:55 2011,1294398475.44,1294398478.22,-85,,,,,,,,,,,,-85,-75,,-80,
Fri Jan  7 16:38:18 2011,1294398498.28,1294398501.16,-84,-76,,,,,,,,,,-73,,-77,-62,-80,
Fri Jan  7 16:38:41 2011,1294398521.23,1294398524.11,,-75,,,,,,,,,,-70,,,-55,-80,
Fri Jan  7 16:39:04 2011,1294398544.18,1294398546.95,-84,,,,,,,,,,,-72,,-76,,-81,
Fri Jan  7 16:39:27 2011,1294398567.02,1294398569.79,-83,,,,,,-80,,,,,,,-75,,-81,
Fri Jan  7 16:39:49 2011,1294398589.86,1294398592.64,-84,,,,,,-82,,,,,-69,,,,-80,
Fri Jan  7 16:40:32 2011,1294398632.78,1294398635.55,-84,,,,,,,,,,,-70,,,-52,,
Fri Jan  7 16:40:55 2011,1294398655.61,1294398658.48,-82,-76,,,,,,,,,,-75,,-75,-60,,
Fri Jan  7 16:41:18 2011,1294398678.54,1294398681.41,-83,-74,,,,,,,,,,-69,,-74,-61,-81,
Fri Jan  7 16:41:41 2011,1294398701.47,1294398704.24,-85,-73,,,,,,,,,,,,,,-80,
Fri Jan  7 16:42:04 2011,1294398724.32,1294398727.19,-83,,,,,,,,,,,-67,,,,,
Fri Jan  7 16:42:27 2011,1294398747.25,1294398750.23,,-73,,,,,,,,,,-68,,-75,-73,,
Fri Jan  7 16:42:50 2011,1294398770.29,1294398773.17,-83,,,,,,,,,,,-65,,-74,-64,-83,
Fri Jan  7 16:43:33 2011,1294398813.32,1294398816.19,-84,-73,,,,,-83,,,,,,,-75,,-80,
Fri Jan  7 16:43:56 2011,1294398836.26,1294398839.02,-83,,,,,,-81,,,,,,,,,-80,
Fri Jan  7 16:44:19 2011,1294398859.1,1294398861.87,-84,,,,,,-80,,,,,-67,,-75,-60,-85,
Fri Jan  7 16:44:41 2011,1294398881.94,1294398884.71,-84,-75,,,,,,,,,,-75,,,-60,,
Fri Jan  7 16:45:04 2011,1294398904.77,1294398907.75,-85,-72,,,,,,,,,,-70,,-75,,,
Fri Jan  7 16:45:27 2011,1294398927.82,1294398930.6,-84,-73,,,,,,,,,,-67,,,-52,,
Fri Jan  7 16:45:50 2011,1294398950.67,1294398953.44,-82,,,,,,,,,,,,,,-63,,
Fri Jan  7 16:46:33 2011,1294398993.6,1294398996.37,,-72,,,,,-82,,,,,-69,,-75,-55,,
Fri Jan  7 16:46:56 2011,1294399016.43,1294399019.2,-84,-73,,,,,-82,,,,,-72,,,-64,-79,
Fri Jan  7 16:47:19 2011,1294399039.27,1294399042.04,-85,-73,,,,,-84,,,,,-71,,-75,,,
Fri Jan  7 16:47:42 2011,1294399062.1,1294399064.98,-83,-73,,,,,,,,,,-69,,-78,-63,-81,
Fri Jan  7 16:48:05 2011,1294399085.05,1294399087.92,-83,-72,,,,,-86,,,,,-75,-88,-75,-56,-77,
Fri Jan  7 16:48:27 2011,1294399107.99,1294399110.87,-82,-73,,,,,,,,,,-67,,-75,-68,-83,
Fri Jan  7 16:48:50 2011,1294399130.95,1294399133.83,-83,-76,,,,,,,,,,-71,,,-65,,
Fri Jan  7 16:49:33 2011,1294399173.96,1294399176.85,,,,,,,-83,,,,,-73,,,,-81,
Fri Jan  7 16:49:56 2011,1294399196.91,1294399199.69,-83,-72,,,,,-82,,,,,,,,-55,-80,
Fri Jan  7 16:50:19 2011,1294399219.76,1294399222.53,-83,-72,,,,,-82,,,,,-75,,-74,-52,-81,
Fri Jan  7 16:50:42 2011,1294399242.59,1294399245.37,,-74,,,,,-81,,,,,-70,,,-60,-80,
Fri Jan  7 16:51:05 2011,1294399265.44,1294399268.22,,-73,,,,,-83,,,,,-68,,-75,-55,-81,
Fri Jan  7 16:51:28 2011,1294399288.29,1294399291.06,-83,-73,,,,,,,,,,-67,,,,,
Fri Jan  7 16:51:51 2011,1294399311.14,1294399313.91,-85,,,,,,,,,,,-70,,-75,-55,,
Fri Jan  7 16:52:34 2011,1294399354.04,1294399356.82,-83,-72,,,,,-83,,,,,-73,,,-68,,
Fri Jan  7 16:52:56 2011,1294399376.89,1294399379.67,-83,-73,,,,,-83,,,,,-75,,-78,-63,,
Fri Jan  7 16:53:19 2011,1294399399.74,1294399402.52,-83,-72,,,,,,,,,,-75,,-79,-56,-82,
Fri Jan  7 16:53:42 2011,1294399422.59,1294399425.36,-84,,,,,,,,,,,,,-76,-60,,
Fri Jan  7 16:54:05 2011,1294399445.43,1294399448.21,,,,,,,,,,,,-76,,-77,,,
Fri Jan  7 16:54:28 2011,1294399468.29,1294399471.06,,-75,,,,,,,,,,-67,,-75,-53,-83,
Fri Jan  7 16:54:51 2011,1294399491.14,1294399494.01,,,,,,,-83,,,,,-73,,-75,-63,,
Fri Jan  7 16:55:34 2011,1294399534.14,1294399537.01,-85,-75,,,,,-83,,,,,-70,,-74,-51,-81,
Fri Jan  7 16:55:57 2011,1294399557.07,1294399559.95,-85,-72,,,,,-84,,,,,-69,,,-52,,
Fri Jan  7 16:56:20 2011,1294399580.01,1294399582.78,-81,,,,,,-81,,,-88,,-74,,,-63,,
Fri Jan  7 16:56:42 2011,1294399602.85,1294399605.62,-84,,,,,,,,,,,-75,,,-60,,
Fri Jan  7 16:57:05 2011,1294399625.69,1294399628.45,-84,-72,,,,,,,,,,-69,,,,-80,
Fri Jan  7 16:57:28 2011,1294399648.51,1294399651.29,,-74,,,,,,,,,,-70,,,,-79,
Fri Jan  7 16:57:51 2011,1294399671.36,1294399674.24,-84,,,,,,,,,,,-75,,,,-79,
Fri Jan  7 16:58:34 2011,1294399714.39,1294399717.26,-82,-73,,,,,-82,,,,,-67,,,,-82,
Fri Jan  7 16:58:57 2011,1294399737.34,1294399740.22,-84,,,,,,-82,,,,,,,,-53,,
Fri Jan  7 16:59:20 2011,1294399760.28,1294399763.06,-83,,,,,,-82,,,,,-72,,,-59,-78,
Fri Jan  7 16:59:43 2011,1294399783.14,1294399785.91,-84,,,,,,,,,,,-67,,-75,-64,-78,
Fri Jan  7 17:00:05 2011,1294399805.98,1294399808.76,,,,,,,,,,,,-68,,,-60,-80,
Fri Jan  7 17:00:28 2011,1294399828.83,1294399831.6,-84,,,,,,,,,,,,,-76,-66,,
Fri Jan  7 17:00:51 2011,1294399851.66,1294399854.43,-84,,,,,,-83,,,,,-72,,,-60,-79,
Fri Jan  7 17:01:34 2011,1294399894.57,1294399897.35,-83,,,,,,,,,,,-67,,,,-82,
Fri Jan  7 17:01:57 2011,1294399917.42,1294399920.3,-84,,,,,,,,,,,,,,-52,,
Fri Jan  7 17:02:20 2011,1294399940.36,1294399943.14,-83,-71,-79,,,,,,,,,-67,,-76,-52,-81,
Fri Jan  7 17:02:43 2011,1294399963.21,1294399965.98,-85,-73,,,,,,,,,,-69,,,,-81,
Fri Jan  7 17:03:06 2011,1294399986.04,1294399988.81,-81,,,,,,-83,,,,,-69,,-75,-64,,
Fri Jan  7 17:03:28 2011,1294400008.89,1294400011.67,,-75,,,,,,,,,,-74,,,-53,,
Fri Jan  7 17:03:51 2011,1294400031.73,1294400034.5,,,,,,,-80,,,,,-72,,-75,,-82,
Fri Jan  7 17:04:34 2011,1294400074.62,1294400077.4,,,,,,,,,,,,-69,,-74,,-81,
Fri Jan  7 17:04:57 2011,1294400097.47,1294400100.34,,-75,,,,,,,,,,-69,,,-63,-81,
Fri Jan  7 17:05:20 2011,1294400120.4,1294400123.18,-82,,,,,,-82,,,,,-69,,,-52,,
Fri Jan  7 17:05:43 2011,1294400143.26,1294400146.13,-84,-75,,,,,,,,,,-66,,-76,-55,,
Fri Jan  7 17:06:06 2011,1294400166.18,1294400168.96,-82,-73,,,,,,,,,,,,,,-81,
Fri Jan  7 17:06:29 2011,1294400189.03,1294400191.82,,-77,,,,,-80,,,,,-69,,-75,-66,-78,
Fri Jan  7 17:06:51 2011,1294400211.88,1294400214.76,-85,,,,,,-82,,,,,,,-81,-75,-80,
Fri Jan  7 17:07:14 2011,1294400234.83,1294400237.61,-82,-74,,,,,-82,,,,,-81,,-81,,,
Fri Jan  7 17:07:37 2011,1294400257.68,1294400260.45,,-75,,,,,-81,,,,,-70,,,-75,-80,
Fri Jan  7 17:08:00 2011,1294400280.53,1294400283.4,,,,,,,-83,,,,,-69,,-80,,-82,
Fri Jan  7 17:08:23 2011,1294400303.46,1294400306.33,-84,,,,,,-82,,,,,-68,,-75,-52,-80,
Fri Jan  7 17:08:46 2011,1294400326.41,1294400329.29,-84,,,,,,-80,,,,,,,,-60,,
Fri Jan  7 17:09:09 2011,1294400349.36,1294400352.13,,,,,,,-82,,,,,-67,,-74,,,
Fri Jan  7 17:09:32 2011,1294400372.2,1294400374.98,-83,-75,,,,,-82,,,,,-67,,,-60,-82,
Fri Jan  7 17:09:55 2011,1294400395.04,1294400397.82,-84,-75,,,,,,,,,,-64,,,-56,,
Fri Jan  7 17:10:17 2011,1294400417.88,1294400420.65,-84,-75,,,,,,,,,,-68,,-74,-67,-82,
Fri Jan  7 17:10:40 2011,1294400440.71,1294400443.49,,,,,,,,,,,,-72,,,,,
Fri Jan  7 17:11:03 2011,1294400463.56,1294400466.44,-83,,,,,,,,,-86,,,,,,,
Fri Jan  7 17:11:26 2011,1294400486.51,1294400489.38,-84,-74,,,,,,,,,,,,,,,
Fri Jan  7 17:11:49 2011,1294400509.45,1294400512.23,-84,,,,,,-81,,,,,-71,,,-56,-82,
Fri Jan  7 17:12:32 2011,1294400552.37,1294400555.15,,-75,,,,,,,,,,-71,,,-64,,
Fri Jan  7 17:12:55 2011,1294400575.21,1294400577.99,-82,,,,,,,,,,,-76,,-75,,,
Fri Jan  7 17:13:18 2011,1294400598.05,1294400600.93,-84,-74,,,,,-81,,,,,-71,,-75,-63,-81,
Fri Jan  7 17:13:40 2011,1294400620.99,1294400623.76,-84,,,,,,-88,,,,,-77,,-76,-58,,
Fri Jan  7 17:14:03 2011,1294400643.83,1294400646.6,-84,,,,,,-81,,,,,-71,,-76,-63,,
Fri Jan  7 17:14:26 2011,1294400666.67,1294400669.44,,-75,,,,,-82,,,,,,,,-60,,
Fri Jan  7 17:14:49 2011,1294400689.51,1294400692.29,,,,,,,-82,,,,,-69,,,,,
Fri Jan  7 17:15:32 2011,1294400732.41,1294400735.19,-83,,,,,,,,,,,-72,,-72,,,
Fri Jan  7 17:15:55 2011,1294400755.24,1294400758.12,-83,-73,,,,,,,,,,-71,,-77,-63,,
Fri Jan  7 17:16:18 2011,1294400778.19,1294400781.07,-81,-73,,,,,,,,,,-66,,-75,-52,-79,
Fri Jan  7 17:16:41 2011,1294400801.14,1294400803.92,-84,,,,,,,,,,,-69,,,,,
Fri Jan  7 17:17:03 2011,1294400823.98,1294400826.85,-81,-72,,,,,,,,,,-73,,-80,-53,,
Fri Jan  7 17:17:26 2011,1294400846.92,1294400849.7,-84,-73,,,,,-83,,,,,-68,,,,,
Fri Jan  7 17:17:49 2011,1294400869.77,1294400872.55,-83,,,,,,-81,,,,,-63,,,-60,,
