98769501451000,18888000,7.578908086264368,-94.6188496288076
98769990969000,19658000,8.448472458210977,-109.2373395848458
98770598466000,19598000,8.29545957255915,-110.47797514568691
98771127256000,19665000,8.338486006884866,-111.9994339342531
98771636187000,19481000,8.231376792617635,-94.51059113046288
98772165039000,19631000,8.761231629978381,-104.51910637790353
98772654858000,19635000,9.005220498836682,-102.07405574938987
98773183857000,19869000,8.849481303096818,-106.84626111115358
98773673531000,19899000,9.325368542921517,-105.6811947632895
98774123828000,19648000,8.975060628245911,-111.0984226997017
98774731165000,19119000,9.040357693653363,-117.71261396740198
98775182640000,20472000,8.864610077485835,-131.4811551831238
98775749852000,19590000,9.115505270924714,-124.083418274218
98776220027000,19580000,8.747274651515324,-105.65883272394687
98776780915000,22100000,8.716568444168397,-102.09105609023403
98777251040000,19596000,8.433956636965261,-100.97649899128218
98777780108000,19641000,8.61573294737997,-100.17880119811639
98778210831000,19540000,8.72732810154872,-109.30928879756271
98778798622000,19475000,8.96677763605297,-111.98062359327889
98779307949000,19514000,8.509608746328226,-120.45393771154328
98779817298000,19593000,9.159227081782099,-117.83968280672089
98780326638000,19612000,8.847921619840196,-127.70054985487336
98780836146000,19402000,8.63328042035868,-105.60229924818667
98781364809000,19621000,8.776382464954573,-116.97245368780438
98781795848000,19407000,8.921077248150432,-106.47980780180406
98782363764000,19618000,8.747258242712784,-118.86698423902583
98782853928000,19946000,9.098718297963734,-110.22594799550262
98783323529000,19484000,8.844179698075681,-113.42571403673517
98783872051000,19332000,8.811413422938593,-117.22314895110051
98784342057000,19607000,8.539834165936272,-118.20160087046152
98784870735000,19601000,9.092269462127643,-116.16979717730115
98785341101000,19786000,8.816410074585407,-109.19999211046417
98785909089000,19624000,8.984948702813552,-106.77591699289162
98786381925000,19832000,9.025123690072142,-111.49789314349907
98786949889000,19560000,9.073892445811426,-107.45167541880518
98787635485000,19363000,8.797937483897693,-112.78801342487692
98788282054000,19505000,8.134242194151357,-118.36421401422119
98790243395000,19539000,7.3797210483380375,-112.1783029282374
